ФреймБанк,Протороли,Фрейм парсер
агенс,агенс,агенс
агенс - субъект восприятия,агенс,агенс
агенс - субъект ментального состояния,агенс,агенс
агенс - субъект ментального состояния,агенс,агенс
агенс - субъект восприятия,агенс,агенс
агенс - субъект восприятия / агенс - субъект психологического состояния,агенс,агенс
агенс - субъект психологического состояния,агенс,агенс
субъект ментального состояния / субъект психологического состояния,агенс,агенс
адресат / бенефициант,адресат,бенефициант
источник звука - часть говорящего,агенс,говорящий
источник света - пациенс,пациенс,пациенс
источник света - пациенс,пациенс,пациенс
контрагент - место,агенс,контрагент
контрагент - субъект ментального состояния,агенс,контрагент
часть субъекта восприятия / часть субъекта психологического состояния,агенс,агенс
место - пациенс,пациенс,пациенс
агенс метаф.,агенс,агенс
агенс / каузатор,агенс,агенс
исходный посессор / агенс,агенс,посессор
агенс - конечный посессор,агенс,посессор
адресат,адресат,адресат
аспект,пациенс,тема
атрибут,инструмент,инструмент
аудитория,адресат,аудитория
бенефициант,адресат,бенефициант
адресат / бенефициант,адресат,бенефициант
вес,параметр,параметр
вместилище,место,место
возраст,время,момент времени
время,время,момент времени
говорящий,агенс,говорящий
говорящий - субъект психологического состояния,агенс,говорящий
депиктив,пациенс,пациенс
детерминатив,,
длительность,время,срок
дополнитель,инструмент,инструмент
заместитель,агенс,агенс
запах,пациенс,пациенс
звук,пациенс,пациенс
значение параметра,параметр,параметр
значение параметра / параметр,параметр,параметр
значение признака,признак,признак
инструмент,инструмент,инструмент
инструмент - место,инструмент,инструмент
инструмент / квазиинструмент,инструмент,инструмент
источник,агенс,агенс
источник метаф.,агенс,агенс
источник вещества,агенс,агенс
источник денежных средств,место,ресурс
источник запаха,место,ресурс
источник звука,место,ресурс
источник информации,пациенс,содержание высказывания
источник света,место,ресурс
исходное значение,пациенс,тема
исходный посессор,агенс,посессор
каузатор,агенс,агенс
качество,параметр,параметр
качество субъекта психологического состояния,параметр,параметр
квазиинструмент,инструмент,квазиинструмент
количество,параметр,параметр
комитатив,инструмент,инструмент
конечная точка,место,конечная точка
конечная точка - множество,место,конечная точка
конечное значение,параметр,параметр
конечное состояние,место,конечная точка
конечный посессор,агенс,посессор
контрагент,агенс,контрагент
контрагент / пациенс,агенс,контрагент
контрагент социального отношения,агенс,контрагент
малефициант,адресат,малефициант
материал,параметр,параметр
место,место,место
множество,место,множество
момент,время,момент времени
момент времени,время,срок
мотивировка,причина,причина
наблюдатель,агенс,агенс
направление,место,место
начальная точка - сфера,место,начальная точка
начальная точка,место,начальная точка
носитель информации,место,место
носитель признака,агенс,агенс
носитель свойства,агенс,агенс
образ действия,инструмент,способ
опора,место,опора
ориентир,место,место
оценка,параметр,параметр
параметр,параметр,параметр
пациенс,пациенс,пациенс
пациенс / результат,пациенс,пациенс
пациенс / тема,пациенс,пациенс
пациенс - результат,пациенс,пациенс
пациенс перемещения,пациенс,пациенс перемещения
пациенс перемещения - средство,пациенс,пациенс перемещения
пациенс социального взаимодействия,пациенс,пациенс
пациенс социального отношения,пациенс,пациенс
период времени,время,срок
подвергающаяся воздействию часть пациенса,пациенс,пациенс
порядок,инструмент,способ
посессор,агенс,посессор
последовательность,место,место
потенциальная ситуация,пациенс,пациенс
потенциальная угроза,пациенс,пациенс
потенциальная угроза - содержание высказывания,пациенс,содержание высказывания
потенциальный агенс,агенс,агенс
потенциальный контрагент,агенс,контрагент
потенциальный пациенс,пациенс,потенциальный пациенс
потенциальный посессор,агенс,посессор
потенциальный результат,пациенс,результат
потенциальный участник,агенс,агенс
потенциальный эффектор,агенс,агенс
преграда,место,конечная точка
предел,пациенс,агенс
